prediction_date,ESLoad
2016-02-13 00:00:00,25961.5
2016-02-13 01:00:00,24448.8333333
2016-02-13 02:00:00,23706.6666667
2016-02-13 03:00:00,23335.6666667
2016-02-13 04:00:00,23218.8333333
2016-02-13 05:00:00,23693.0
2016-02-13 06:00:00,24840.8333333
2016-02-13 07:00:00,26022.8333333
2016-02-13 08:00:00,28357.5
2016-02-13 09:00:00,30494.1666667
2016-02-13 10:00:00,30929.5
2016-02-13 11:00:00,30398.1666667
2016-02-13 12:00:00,30627.3333333
2016-02-13 13:00:00,29848.8333333
2016-02-13 14:00:00,28361.8333333
2016-02-13 15:00:00,27773.0
2016-02-13 16:00:00,27726.8333333
2016-02-13 17:00:00,28307.3333333
2016-02-13 18:00:00,30463.8333333
2016-02-13 19:00:00,31011.0
2016-02-13 20:00:00,30871.8333333
2016-02-13 21:00:00,29510.8333333
2016-02-13 22:00:00,27652.8333333
2016-02-13 23:00:00,25969.6666667
2016-02-14 00:00:00,23846.8333333
2016-02-14 01:00:00,22435.3333333
2016-02-14 02:00:00,21857.6666667
2016-02-14 03:00:00,21526.0
2016-02-14 04:00:00,21544.8333333
2016-02-14 05:00:00,21924.0
2016-02-14 06:00:00,22446.8333333
2016-02-14 07:00:00,22646.0
2016-02-14 08:00:00,24688.3333333
2016-02-14 09:00:00,26743.0
2016-02-14 10:00:00,27890.6666667
2016-02-14 11:00:00,28096.8333333
2016-02-14 12:00:00,28255.6666667
2016-02-14 13:00:00,28060.5
2016-02-14 14:00:00,26843.6666667
2016-02-14 15:00:00,25988.3333333
2016-02-14 16:00:00,25862.5
2016-02-14 17:00:00,27170.6666667
2016-02-14 18:00:00,29657.0
2016-02-14 19:00:00,31216.0
2016-02-14 20:00:00,31606.3333333
2016-02-14 21:00:00,30670.1666667
2016-02-14 22:00:00,28694.8333333
2016-02-14 23:00:00,26618.3333333
2016-02-15 00:00:00,24760.1666667
2016-02-15 01:00:00,23523.1666667
2016-02-15 02:00:00,22833.3333333
2016-02-15 03:00:00,22619.1666667
2016-02-15 04:00:00,23414.8333333
2016-02-15 05:00:00,26241.0
2016-02-15 06:00:00,30857.1666667
2016-02-15 07:00:00,33838.5
2016-02-15 08:00:00,35239.1666667
2016-02-15 09:00:00,35706.3333333
2016-02-15 10:00:00,35601.0
2016-02-15 11:00:00,35471.6666667
2016-02-15 12:00:00,35396.1666667
2016-02-15 13:00:00,34261.5
2016-02-15 14:00:00,33625.1666667
2016-02-15 15:00:00,33338.3333333
2016-02-15 16:00:00,33244.6666667
2016-02-15 17:00:00,33760.5
2016-02-15 18:00:00,36391.1666667
2016-02-15 19:00:00,37031.6666667
2016-02-15 20:00:00,36395.5
2016-02-15 21:00:00,33872.5
2016-02-15 22:00:00,30516.5
2016-02-15 23:00:00,28264.3333333
2016-02-16 00:00:00,26080.5
2016-02-16 01:00:00,24959.1666667
2016-02-16 02:00:00,24518.5
2016-02-16 03:00:00,24281.3333333
